x,Sinx,Cosx
1,0.017452406,0.999847695
2,0.034899497,0.999390827
3,0.052335956,0.998629535
4,0.069756474,0.99756405
5,0.087155743,0.996194698
6,0.104528463,0.994521895
7,0.121869343,0.992546152
8,0.139173101,0.990268069
9,0.156434465,0.987688341
10,0.173648178,0.984807753
11,0.190808995,0.981627183
12,0.207911691,0.978147601
13,0.224951054,0.974370065
14,0.241921896,0.970295726
15,0.258819045,0.965925826
16,0.275637356,0.961261696
17,0.292371705,0.956304756
18,0.309016994,0.951056516
19,0.325568154,0.945518576
20,0.342020143,0.939692621
21,0.35836795,0.933580426
22,0.374606593,0.927183855
23,0.390731128,0.920504853
24,0.406736643,0.913545458
25,0.422618262,0.906307787
26,0.438371147,0.898794046
27,0.4539905,0.891006524
28,0.469471563,0.882947593
29,0.48480962,0.874619707
30,0.5,0.866025404
31,0.515038075,0.857167301
32,0.529919264,0.848048096
33,0.544639035,0.838670568
34,0.559192903,0.829037573
35,0.573576436,0.819152044
36,0.587785252,0.809016994
37,0.601815023,0.79863551
38,0.615661475,0.788010754
39,0.629320391,0.777145961
40,0.64278761,0.766044443
41,0.656059029,0.75470958
42,0.669130606,0.743144825
43,0.68199836,0.731353702
44,0.69465837,0.7193398
45,0.707106781,0.707106781
46,0.7193398,0.69465837
47,0.731353702,0.68199836
48,0.743144825,0.669130606
49,0.75470958,0.656059029
50,0.766044443,0.64278761
51,0.777145961,0.629320391
52,0.788010754,0.615661475
53,0.79863551,0.601815023
54,0.809016994,0.587785252
55,0.819152044,0.573576436
56,0.829037573,0.559192903
57,0.838670568,0.544639035
58,0.848048096,0.529919264
59,0.857167301,0.515038075
60,0.866025404,0.5
61,0.874619707,0.48480962
62,0.882947593,0.469471563
63,0.891006524,0.4539905
64,0.898794046,0.438371147
65,0.906307787,0.422618262
66,0.913545458,0.406736643
67,0.920504853,0.390731128
68,0.927183855,0.374606593
69,0.933580426,0.35836795
70,0.939692621,0.342020143
71,0.945518576,0.325568154
72,0.951056516,0.309016994
73,0.956304756,0.292371705
74,0.961261696,0.275637356
75,0.965925826,0.258819045
76,0.970295726,0.241921896
77,0.974370065,0.224951054
78,0.978147601,0.207911691
79,0.981627183,0.190808995
80,0.984807753,0.173648178
81,0.987688341,0.156434465
82,0.990268069,0.139173101
83,0.992546152,0.121869343
84,0.994521895,0.104528463
85,0.996194698,0.087155743
86,0.99756405,0.069756474
87,0.998629535,0.052335956
88,0.999390827,0.034899497
89,0.999847695,0.017452406
90,1,6.12574E-17
91,0.999847695,-0.017452406
92,0.999390827,-0.034899497
93,0.998629535,-0.052335956
94,0.99756405,-0.069756474
95,0.996194698,-0.087155743
96,0.994521895,-0.104528463
97,0.992546152,-0.121869343
98,0.990268069,-0.139173101
99,0.987688341,-0.156434465
100,0.984807753,-0.173648178
101,0.981627183,-0.190808995
102,0.978147601,-0.207911691
103,0.974370065,-0.224951054
104,0.970295726,-0.241921896
105,0.965925826,-0.258819045
106,0.961261696,-0.275637356
107,0.956304756,-0.292371705
108,0.951056516,-0.309016994
109,0.945518576,-0.325568154
110,0.939692621,-0.342020143
111,0.933580426,-0.35836795
112,0.927183855,-0.374606593
113,0.920504853,-0.390731128
114,0.913545458,-0.406736643
115,0.906307787,-0.422618262
116,0.898794046,-0.438371147
117,0.891006524,-0.4539905
118,0.882947593,-0.469471563
119,0.874619707,-0.48480962
120,0.866025404,-0.5
121,0.857167301,-0.515038075
122,0.848048096,-0.529919264
123,0.838670568,-0.544639035
124,0.829037573,-0.559192903
125,0.819152044,-0.573576436
126,0.809016994,-0.587785252
127,0.79863551,-0.601815023
128,0.788010754,-0.615661475
129,0.777145961,-0.629320391
130,0.766044443,-0.64278761
131,0.75470958,-0.656059029
132,0.743144825,-0.669130606
133,0.731353702,-0.68199836
134,0.7193398,-0.69465837
135,0.707106781,-0.707106781
136,0.69465837,-0.7193398
137,0.68199836,-0.731353702
138,0.669130606,-0.743144825
139,0.656059029,-0.75470958
140,0.64278761,-0.766044443
141,0.629320391,-0.777145961
142,0.615661475,-0.788010754
143,0.601815023,-0.79863551
144,0.587785252,-0.809016994
145,0.573576436,-0.819152044
146,0.559192903,-0.829037573
147,0.544639035,-0.838670568
148,0.529919264,-0.848048096
149,0.515038075,-0.857167301
150,0.5,-0.866025404
151,0.48480962,-0.874619707
152,0.469471563,-0.882947593
153,0.4539905,-0.891006524
154,0.438371147,-0.898794046
155,0.422618262,-0.906307787
156,0.406736643,-0.913545458
157,0.390731128,-0.920504853
158,0.374606593,-0.927183855
159,0.35836795,-0.933580426
160,0.342020143,-0.939692621
161,0.325568154,-0.945518576
162,0.309016994,-0.951056516
163,0.292371705,-0.956304756
164,0.275637356,-0.961261696
165,0.258819045,-0.965925826
166,0.241921896,-0.970295726
167,0.224951054,-0.974370065
168,0.207911691,-0.978147601
169,0.190808995,-0.981627183
170,0.173648178,-0.984807753
171,0.156434465,-0.987688341
172,0.139173101,-0.990268069
173,0.121869343,-0.992546152
174,0.104528463,-0.994521895
175,0.087155743,-0.996194698
176,0.069756474,-0.99756405
177,0.052335956,-0.998629535
178,0.034899497,-0.999390827
179,0.017452406,-0.999847695
180,1.23E-16,-1
181,-0.017452406,-0.999847695
182,-0.034899497,-0.999390827
183,-0.052335956,-0.998629535
184,-0.069756474,-0.99756405
185,-0.087155743,-0.996194698
186,-0.104528463,-0.994521895
187,-0.121869343,-0.992546152
188,-0.139173101,-0.990268069
189,-0.156434465,-0.987688341
190,-0.173648178,-0.984807753
191,-0.190808995,-0.981627183
192,-0.207911691,-0.978147601
193,-0.224951054,-0.974370065
194,-0.241921896,-0.970295726
195,-0.258819045,-0.965925826
196,-0.275637356,-0.961261696
197,-0.292371705,-0.956304756
198,-0.309016994,-0.951056516
199,-0.325568154,-0.945518576
200,-0.342020143,-0.939692621
201,-0.35836795,-0.933580426
202,-0.374606593,-0.927183855
203,-0.390731128,-0.920504853
204,-0.406736643,-0.913545458
205,-0.422618262,-0.906307787
206,-0.438371147,-0.898794046
207,-0.4539905,-0.891006524
208,-0.469471563,-0.882947593
209,-0.48480962,-0.874619707
210,-0.5,-0.866025404
211,-0.515038075,-0.857167301
212,-0.529919264,-0.848048096
213,-0.544639035,-0.838670568
214,-0.559192903,-0.829037573
215,-0.573576436,-0.819152044
216,-0.587785252,-0.809016994
217,-0.601815023,-0.79863551
218,-0.615661475,-0.788010754
219,-0.629320391,-0.777145961
220,-0.64278761,-0.766044443
221,-0.656059029,-0.75470958
222,-0.669130606,-0.743144825
223,-0.68199836,-0.731353702
224,-0.69465837,-0.7193398
225,-0.707106781,-0.707106781
226,-0.7193398,-0.69465837
227,-0.731353702,-0.68199836
228,-0.743144825,-0.669130606
229,-0.75470958,-0.656059029
230,-0.766044443,-0.64278761
231,-0.777145961,-0.629320391
232,-0.788010754,-0.615661475
233,-0.79863551,-0.601815023
234,-0.809016994,-0.587785252
235,-0.819152044,-0.573576436
236,-0.829037573,-0.559192903
237,-0.838670568,-0.544639035
238,-0.848048096,-0.529919264
239,-0.857167301,-0.515038075
240,-0.866025404,-0.5
241,-0.874619707,-0.48480962
242,-0.882947593,-0.469471563
243,-0.891006524,-0.4539905
244,-0.898794046,-0.438371147
245,-0.906307787,-0.422618262
246,-0.913545458,-0.406736643
247,-0.920504853,-0.390731128
248,-0.927183855,-0.374606593
249,-0.933580426,-0.35836795
250,-0.939692621,-0.342020143
251,-0.945518576,-0.325568154
252,-0.951056516,-0.309016994
253,-0.956304756,-0.292371705
254,-0.961261696,-0.275637356
255,-0.965925826,-0.258819045
256,-0.970295726,-0.241921896
257,-0.974370065,-0.224951054
258,-0.978147601,-0.207911691
259,-0.981627183,-0.190808995
260,-0.984807753,-0.173648178
261,-0.987688341,-0.156434465
262,-0.990268069,-0.139173101
263,-0.992546152,-0.121869343
264,-0.994521895,-0.104528463
265,-0.996194698,-0.087155743
266,-0.99756405,-0.069756474
267,-0.998629535,-0.052335956
268,-0.999390827,-0.034899497
269,-0.999847695,-0.017452406
270,-1,-1.83772E-16
271,-0.999847695,0.017452406
272,-0.999390827,0.034899497
273,-0.998629535,0.052335956
274,-0.99756405,0.069756474
275,-0.996194698,0.087155743
276,-0.994521895,0.104528463
277,-0.992546152,0.121869343
278,-0.990268069,0.139173101
279,-0.987688341,0.156434465
280,-0.984807753,0.173648178
281,-0.981627183,0.190808995
282,-0.978147601,0.207911691
283,-0.974370065,0.224951054
284,-0.970295726,0.241921896
285,-0.965925826,0.258819045
286,-0.961261696,0.275637356
287,-0.956304756,0.292371705
288,-0.951056516,0.309016994
289,-0.945518576,0.325568154
290,-0.939692621,0.342020143
291,-0.933580426,0.35836795
292,-0.927183855,0.374606593
293,-0.920504853,0.390731128
294,-0.913545458,0.406736643
295,-0.906307787,0.422618262
296,-0.898794046,0.438371147
297,-0.891006524,0.4539905
298,-0.882947593,0.469471563
299,-0.874619707,0.48480962
300,-0.866025404,0.5
301,-0.857167301,0.515038075
302,-0.848048096,0.529919264
303,-0.838670568,0.544639035
304,-0.829037573,0.559192903
305,-0.819152044,0.573576436
306,-0.809016994,0.587785252
307,-0.79863551,0.601815023
308,-0.788010754,0.615661475
309,-0.777145961,0.629320391
310,-0.766044443,0.64278761
311,-0.75470958,0.656059029
312,-0.743144825,0.669130606
313,-0.731353702,0.68199836
314,-0.7193398,0.69465837
315,-0.707106781,0.707106781
316,-0.69465837,0.7193398
317,-0.68199836,0.731353702
318,-0.669130606,0.743144825
319,-0.656059029,0.75470958
320,-0.64278761,0.766044443
321,-0.629320391,0.777145961
322,-0.615661475,0.788010754
323,-0.601815023,0.79863551
324,-0.587785252,0.809016994
325,-0.573576436,0.819152044
326,-0.559192903,0.829037573
327,-0.544639035,0.838670568
328,-0.529919264,0.848048096
329,-0.515038075,0.857167301
330,-0.5,0.866025404
331,-0.48480962,0.874619707
332,-0.469471563,0.882947593
333,-0.4539905,0.891006524
334,-0.438371147,0.898794046
335,-0.422618262,0.906307787
336,-0.406736643,0.913545458
337,-0.390731128,0.920504853
338,-0.374606593,0.927183855
339,-0.35836795,0.933580426
340,-0.342020143,0.939692621
341,-0.325568154,0.945518576
342,-0.309016994,0.951056516
343,-0.292371705,0.956304756
344,-0.275637356,0.961261696
345,-0.258819045,0.965925826
346,-0.241921896,0.970295726
347,-0.224951054,0.974370065
348,-0.207911691,0.978147601
349,-0.190808995,0.981627183
350,-0.173648178,0.984807753
351,-0.156434465,0.987688341
352,-0.139173101,0.990268069
353,-0.121869343,0.992546152
354,-0.104528463,0.994521895
355,-0.087155743,0.996194698
356,-0.069756474,0.99756405
357,-0.052335956,0.998629535
358,-0.034899497,0.999390827
359,-0.017452406,0.999847695
360,-2.45E-16,1
361,0.017452406,0.999847695
362,0.034899497,0.999390827
363,0.052335956,0.998629535
364,0.069756474,0.99756405
365,0.087155743,0.996194698
366,0.104528463,0.994521895
367,0.121869343,0.992546152
368,0.139173101,0.990268069
369,0.156434465,0.987688341
370,0.173648178,0.984807753
371,0.190808995,0.981627183
372,0.207911691,0.978147601
373,0.224951054,0.974370065
374,0.241921896,0.970295726
375,0.258819045,0.965925826
376,0.275637356,0.961261696
377,0.292371705,0.956304756
378,0.309016994,0.951056516
379,0.325568154,0.945518576
380,0.342020143,0.939692621
381,0.35836795,0.933580426
382,0.374606593,0.927183855
383,0.390731128,0.920504853
384,0.406736643,0.913545458
385,0.422618262,0.906307787
386,0.438371147,0.898794046
387,0.4539905,0.891006524
388,0.469471563,0.882947593
389,0.48480962,0.874619707
390,0.5,0.866025404
391,0.515038075,0.857167301
392,0.529919264,0.848048096
393,0.544639035,0.838670568
394,0.559192903,0.829037573
395,0.573576436,0.819152044
396,0.587785252,0.809016994
397,0.601815023,0.79863551
398,0.615661475,0.788010754
399,0.629320391,0.777145961
400,0.64278761,0.766044443
401,0.656059029,0.75470958
402,0.669130606,0.743144825
403,0.68199836,0.731353702
404,0.69465837,0.7193398
405,0.707106781,0.707106781
406,0.7193398,0.69465837
407,0.731353702,0.68199836
408,0.743144825,0.669130606
409,0.75470958,0.656059029
410,0.766044443,0.64278761
411,0.777145961,0.629320391
412,0.788010754,0.615661475
413,0.79863551,0.601815023
414,0.809016994,0.587785252
415,0.819152044,0.573576436
416,0.829037573,0.559192903
417,0.838670568,0.544639035
418,0.848048096,0.529919264
419,0.857167301,0.515038075
420,0.866025404,0.5
421,0.874619707,0.48480962
422,0.882947593,0.469471563
423,0.891006524,0.4539905
424,0.898794046,0.438371147
425,0.906307787,0.422618262
426,0.913545458,0.406736643
427,0.920504853,0.390731128
428,0.927183855,0.374606593
429,0.933580426,0.35836795
430,0.939692621,0.342020143
431,0.945518576,0.325568154
432,0.951056516,0.309016994
433,0.956304756,0.292371705
434,0.961261696,0.275637356
435,0.965925826,0.258819045
436,0.970295726,0.241921896
437,0.974370065,0.224951054
438,0.978147601,0.207911691
439,0.981627183,0.190808995
440,0.984807753,0.173648178
441,0.987688341,0.156434465
442,0.990268069,0.139173101
443,0.992546152,0.121869343
444,0.994521895,0.104528463
445,0.996194698,0.087155743
446,0.99756405,0.069756474
447,0.998629535,0.052335956
448,0.999390827,0.034899497
449,0.999847695,0.017452406
450,1,3.06287E-16
451,0.999847695,-0.017452406
452,0.999390827,-0.034899497
453,0.998629535,-0.052335956
454,0.99756405,-0.069756474
455,0.996194698,-0.087155743
456,0.994521895,-0.104528463
457,0.992546152,-0.121869343
458,0.990268069,-0.139173101
459,0.987688341,-0.156434465
460,0.984807753,-0.173648178
461,0.981627183,-0.190808995
462,0.978147601,-0.207911691
463,0.974370065,-0.224951054
464,0.970295726,-0.241921896
465,0.965925826,-0.258819045
466,0.961261696,-0.275637356
467,0.956304756,-0.292371705
468,0.951056516,-0.309016994
469,0.945518576,-0.325568154
470,0.939692621,-0.342020143
471,0.933580426,-0.35836795
472,0.927183855,-0.374606593
473,0.920504853,-0.390731128
474,0.913545458,-0.406736643
475,0.906307787,-0.422618262
476,0.898794046,-0.438371147
477,0.891006524,-0.4539905
478,0.882947593,-0.469471563
479,0.874619707,-0.48480962
480,0.866025404,-0.5
481,0.857167301,-0.515038075
482,0.848048096,-0.529919264
483,0.838670568,-0.544639035
484,0.829037573,-0.559192903
485,0.819152044,-0.573576436
486,0.809016994,-0.587785252
487,0.79863551,-0.601815023
488,0.788010754,-0.615661475
